iter	RMSE
0	1284.008509
1	1281.26704
2	1279.073241
3	1277.862361
4	1275.417635
5	1274.717471
6	1273.894468
7	1273.427485
8	1272.920547
9	1272.590528
10	1272.137277
11	1271.70659
12	1271.305988
13	1270.774991
14	1270.452312
15	1270.156187
16	1269.920775
17	1269.595865
18	1269.442799
19	1269.178001
20	1268.900946
21	1268.693127
22	1268.419066
23	1268.172511
24	1267.817646
25	1267.522947
26	1267.195316
27	1266.950792
28	1266.571215
29	1266.208181
30	1265.863966
31	1265.585975
32	1265.265385
33	1264.82546
34	1264.536157
35	1264.295163
36	1264.023515
37	1263.846829
38	1263.555386
39	1263.166835
40	1262.92703
41	1262.715406
42	1262.435191
43	1262.246305
44	1262.010891
45	1261.792246
46	1261.580305
47	1261.430638
48	1261.269175
49	1260.991908
50	1260.741879
51	1260.493303
52	1260.323204
53	1260.055184
54	1259.827224
55	1259.592149
56	1259.31463
57	1259.010299
58	1258.745856
59	1258.433764
60	1258.211812
61	1257.934479
62	1257.662175
63	1257.407697
64	1257.11736
65	1256.958499
66	1256.584992
67	1256.43671
68	1256.274115
69	1256.005768
70	1255.670353
71	1255.499331
72	1255.374331
73	1255.210791
74	1254.982787
75	1254.695498
76	1254.537062
77	1254.328278
78	1254.184781
79	1253.990766
80	1253.855667
81	1253.639481
82	1253.407596
83	1253.237424
84	1253.043957
85	1252.798282
86	1252.577667
87	1252.290539
88	1252.058924
89	1251.84881
90	1251.683546
91	1251.52493
92	1251.370748
93	1251.220337
94	1251.007451
95	1250.850149
96	1250.699253
97	1250.571797
98	1250.409242
99	1250.21378
