iter	Passed	Remaining
0	10	1024
1	18	929
2	28	909
3	37	888
4	45	873
5	55	874
6	64	861
7	74	859
8	83	847
9	92	832
10	101	818
11	110	810
12	120	804
13	128	790
14	137	781
15	147	772
16	156	762
17	165	753
18	177	754
19	189	756
20	201	757
21	219	776
22	236	790
23	251	795
24	267	802
25	279	795
26	296	801
27	310	798
28	329	806
29	345	805
30	359	800
31	372	790
32	384	780
33	399	775
34	412	766
35	427	760
36	440	749
37	451	736
38	463	724
39	476	714
40	487	701
41	498	688
42	511	678
43	524	667
44	535	653
45	548	643
46	559	630
47	569	617
48	580	604
49	590	590
50	600	576
51	609	563
52	620	550
53	629	536
54	637	521
55	648	509
56	658	496
57	669	484
58	681	473
59	691	461
60	705	450
61	724	443
62	741	435
63	761	428
64	784	422
65	799	412
66	811	399
67	826	388
68	840	377
69	853	365
70	867	354
71	879	341
72	891	329
73	905	318
74	919	306
75	933	294
76	944	282
77	955	269
78	969	257
79	982	245
80	991	232
81	1004	220
82	1017	208
83	1031	196
84	1041	183
85	1051	171
86	1061	158
87	1071	146
88	1081	133
89	1090	121
90	1100	108
91	1108	96
92	1117	84
93	1128	72
94	1136	59
95	1145	47
96	1154	35
97	1163	23
98	1173	11
99	1184	0
